,Experiment,Date,Pre Post,Plot,Strip,PT Height (mm),evi_mean,ndvi_mean,gndvi_mean,savi_mean,msavi_mean,Total Biomass (kg/ha)
309,SHTFG,8/24/2018,Pre,211_1,11,40.0,1.6096529960632324,0.5730735063552856,0.5832404494285583,0.8595151305198669,0.7285757660865784,1435.0
310,SHTFG,8/24/2018,Pre,121_2,8,35.0,1.6281406879425049,0.5704225301742554,0.5829636454582214,0.8555396795272827,0.7264295220375061,1214.0
311,SHTFG,8/24/2018,Pre,211_2,3,67.0,1.8753187656402588,0.6305186748504639,0.6245996356010437,0.9456766247749328,0.7733733654022217,2321.0
312,SHTFG,8/24/2018,Pre,211_2,10,39.0,1.7299736738204956,0.5922746658325195,0.6140961647033691,0.8883166909217834,0.7439096570014954,1341.0
313,SHTFG,11/7/2018,Pre,111_2,7,81.0,1.620055913925171,0.6702479124069214,0.6827643513679504,1.005268096923828,0.8025533556938171,2787.0
314,SHTFG,8/10/2018,Pre,121_2,10,62.0,1.3432226181030271,0.6500548720359802,0.6821843981742859,0.974975287914276,0.7878968715667725,2127.0
315,SHTFG,8/10/2018,Pre,214_2,1,103.0,1.5414440631866455,0.7068352699279785,0.7218015193939209,1.0601481199264526,0.8282243013381958,3524.0
316,SHTFG,8/10/2018,Pre,211_2,1,28.0,1.2104113101959229,0.5760069489479065,0.632204533,0.8639168739318848,0.7309430241584778,955.0
317,SHTFG,8/10/2018,Pre,211_1,9,40.0,1.3716732263565063,0.6336949467658997,0.6706547737121582,0.9504413604736328,0.7757586240768433,1325.0
318,SHTFG,8/10/2018,Pre,214_1,10,36.0,1.280594825744629,0.6021715402603149,0.6424754858016968,0.9031592607498168,0.7516689300537109,1172.0
319,SHTFG,8/24/2018,Pre,121_1,5,40.0,1.5279769897460938,0.5513373613357544,0.5733975172042847,0.8269168734550476,0.7107611894607544,1291.0
320,SHTFG,8/24/2018,Pre,211_1,7,54.0,1.6359223127365112,0.590709925,0.5973597168922424,0.8859677910804749,0.742673397,1738.0
321,SHTFG,8/10/2018,Pre,111_2,3,97.0,1.4530571699142456,0.6797122955322266,0.7101012468338013,1.0194605588912964,0.8093004822731018,3092.0
322,SHTFG,8/24/2018,Pre,111_2,6,103.0,1.800025224685669,0.606990635,0.6155988574028015,0.9103889465332032,0.7554131746292114,3285.0
323,SHTFG,8/10/2018,Pre,211_1,6,50.0,1.297149896621704,0.6208915114402771,0.6578401923179626,0.9312323927879332,0.766086221,1585.0
324,SHTFG,8/10/2018,Pre,214_1,5,58.0,1.3243143558502195,0.6294838190078735,0.6614629626274109,0.9441224932670592,0.7725938558578491,1832.0
325,SHTFG,8/10/2018,Pre,214_1,12,29.0,1.145664930343628,0.5665895342826843,0.6225757002830505,0.849794865,0.7233145236968994,918.0
326,SHTFG,8/24/2018,Pre,211_2,4,93.0,1.7967263460159302,0.6221441030502319,0.6207199096679688,0.933113694,0.7670397162437439,2963.0
327,SHTFG,11/7/2018,Pre,111_1,8,72.0,1.2949529886245728,0.578370988,0.6125873923301697,0.8674575090408325,0.7328424453735352,2242.0
328,SHTFG,8/24/2018,Pre,111_2,5,103.0,1.8204426765441892,0.62165606,0.6226896047592163,0.9323850870132446,0.7666694521903992,3237.0
